PILAR,Dimensões,,Coordenadas,,Inércia,,Módulo de Elasticidade,Centro de Torção,,,,Centro de Massa,,,Excentricidade Estrutural,
,,,,,,,23.14,23.14,9.45,,,,,,eox (m),"0,3 rx"
,,,,,,,‰=,1.00,,,,,,,,
,,,,,,,Estrutura Esbelta,,,,,,,,0.05,6.49
,,,,,,,,,,,,,,,rx,Raio de Giração da massa do Piso (ls)
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,21.65,9.45
,,,,,,,,,,,,,,,eoy (m),"0,3 ry"
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,10.08,8.11
,,,,,,,,,,,,,,,ry,Raio de Giração da massa do Piso (ls)
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,27.02,9.45
Caixa Elevador,Dimensões,,Área (m2),Coordenadas,,Inércia de cada seção,,Centro de Massa,,Inércia da Caixa de elevador,,,,,,
,b (m),h (m),,Xi (m),Yi (m),Ix (m4),Iy (m4),Xcm,Ycm,Ix (m4),Iy (m4),,,,,
E5 (4DE),1.40,0.20,0.28,12.37,17.22,0.05,0.00,12.68,18.02,83.03,42.89,,,,,
E5 (5),0.20,1.80,0.36,13.17,18.02,0.00,0.10,,,117.00,62.44,,,,,
E5 (6DE),1.40,0.20,0.28,12.37,18.82,0.05,0.00,,,99.17,42.89,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
